branch_id,branch_name,address,phone
B001,Branch 1,Address 1,0904528208
B002,Branch 2,Address 2,0908177006
B003,Branch 3,Address 3,0905641725
B004,Branch 4,Address 4,0902083923
B005,Branch 5,Address 5,0904480737
B006,Branch 6,Address 6,0902296061
B007,Branch 7,Address 7,0908635295
B008,Branch 8,Address 8,0909849105
B009,Branch 9,Address 9,0901750276
B010,Branch 10,Address 10,0908843204
B011,Branch 11,Address 11,0903818015
B012,Branch 12,Address 12,0903965038
B013,Branch 13,Address 13,0904547610
B014,Branch 14,Address 14,0907215329
B015,Branch 15,Address 15,0904992555
B016,Branch 16,Address 16,0906077055
B017,Branch 17,Address 17,0908389951
B018,Branch 18,Address 18,0901114563
B019,Branch 19,Address 19,0906380034
B020,Branch 20,Address 20,0904126257
